month,region,cluster,latitude,longitude,trend_line
3,Brazil,3,-14.235,-51.9253,369.25068418171867
3,Russia,3,60.0,90.0,248.84482758620692
3,India,2,21.0,78.0,133.23070607553367
3,Peru,2,-9.19,-75.0152,93.71893814997262
3,Chile,2,-35.6751,-71.543,78.58648056923919
3,Mexico,1,23.6345,-102.5528,55.14230979748222
3,Saudi Arabia,1,24.0,45.0,52.08921729611384
3,Pakistan,1,30.3753,69.3451,36.69868637110016
3,Qatar,1,25.3548,51.1839,36.23152709359606
3,Kuwait,1,29.5,47.75,34.95812807881773
3,Iran,1,32.0,53.0,31.233990147783253
3,Bangladesh,1,23.685,90.3563,29.492063492063497
3,South Africa,1,-30.5595,22.9375,27.85632183908046
3,Colombia,0,4.5709,-74.2973,20.02572523262178
3,Afghanistan,0,33.0,65.0,11.541871921182265
3,Egypt,0,26.0,30.0,11.256978653530378
3,United Arab Emirates,0,24.0,54.0,10.51751505199781
3,Bahrain,0,26.0275,50.55,8.995347564313082
3,Indonesia,0,-0.7893,113.9213,8.588669950738916
3,Bolivia,0,-16.2902,-63.5887,7.68856048166393
3,Ghana,0,7.9465,-1.0232,7.288177339901478
3,Nigeria,0,9.082,8.6753,7.123700054734537
3,Oman,0,21.0,57.0,6.888341543513957
3,Argentina,0,-38.4161,-63.6167,6.858511220580186
3,Tajikistan,0,38.861034000000004,71.276093,6.4001094690749865
3,Belarus,0,53.7098,27.9534,5.66256157635468
3,Sudan,0,12.8628,30.2176,5.232348111658457
3,Dominican Republic,0,18.7357,-70.1627,5.191023535851122
3,Armenia,0,40.0691,45.0382,5.156814449917898
3,Honduras,0,15.2,-86.2419,4.23207443897099
3,Azerbaijan,0,40.1431,47.5769,3.808976464148878
3,Algeria,0,28.0339,1.6596,3.65407772304324
3,Gabon,0,-0.8037,11.6094,3.4496442255062947
3,Guatemala,0,15.7835,-90.2308,3.1264367816091947
3,Zambia,0,-15.4167,28.2833,2.905856595511768
3,Senegal,0,14.4974,-14.4524,2.6636562671045434
3,El Salvador,0,13.7942,-88.8965,2.5919540229885056
3,Congo (Kinshasa),0,-4.0383,21.7587,2.320744389709907
3,Iraq,0,33.0,44.0,2.3078817733990142
3,Philippines,0,13.0,122.0,1.9381499726327311
3,Guinea-Bissau,0,11.8037,-15.1804,1.8160919540229883
3,Haiti,0,18.9712,-72.2852,1.781335522714833
3,Mayotte,0,-12.8275,45.1662,1.6105637657361795
3,Moldova,0,47.4116,28.3699,1.3973727422003284
3,Chad,0,15.4542,18.7322,1.3552271483305969
3,Poland,0,51.9194,19.1451,1.2145593869731806
3,Central African Republic,0,6.6111,20.9394,1.1480569239189928
3,Kenya,0,-0.0236,37.9062,1.0292829775588395
3,South Sudan,0,6.877000000000001,31.307,1.0251778872468527
3,Sierra Leone,0,8.460555000000001,-11.779889,1.0207991242474
